,0,1,2
0,上海市,1792842.229586184,3533532.888065
1,临沧市,-349880.1729684371,2673621.0484247534
2,丽江市,-243736.62938891468,3003028.0462870426
3,保山市,-414119.8768102626,2794030.174887567
4,大理白族自治州,-300691.43529237155,2870852.1166622383
5,德宏傣族景颇族自治州,-507820.85549829935,2753621.68893995
6,怒江傈僳族自治州,-408612.12206979207,3016343.144329209
7,文山壮族苗族自治州,164490.99762104696,2624729.3824701244
8,昆明市,-16417.534286304937,2818697.177465259
9,昭通市,105072.2793498411,3066404.6451975396
10,普洱市,-247099.78431369795,2583710.664125726
11,曲靖市,92185.8195936393,2850056.6146335723
12,楚雄彝族自治州,-148360.5892214406,2820473.858285788
13,玉溪市,-90193.5339266887,2682884.822481564
14,红河哈尼族彝族自治州,-7873.555796947869,2601833.6153844097
15,西双版纳傣族自治州,-230281.89724391693,2443067.813678255
16,迪庆藏族自治州,-344003.22006799397,3123312.351922323
17,乌兰察布市,871283.6237833633,4625937.5562437065
18,乌海市,404380.84028668253,4365574.714794371
19,兴安盟,1531214.202036558,5208662.2263421295
20,包头市,688399.559991579,4603976.874124632
21,呼伦贝尔市,1449932.5955820256,5586056.388900226
22,呼和浩特市,796342.2205652574,4500825.216009828
23,巴彦淖尔市,463639.9797319863,4590537.150170258
24,赤峰市,1384739.4939991883,4843175.964083641
25,通辽市,1592932.9463346326,4943946.975939259
26,鄂尔多斯市,553732.8285323291,4364103.6207747795
27,锡林郭勒盟,1097540.1911034533,4923704.019283973
28,阿拉善盟,32464.154358342847,4500083.465079885
29,北京市,1216767.7121004767,4484032.320769016
30,吉林市,2023299.567215168,5003058.566822273
31,四平市,1831637.3644880878,4959897.793259757
32,延边朝鲜族自治州,2221220.253001709,5000526.888038971
33,松原市,1803325.0243748506,5096694.073380755
34,白城市,1676241.3254907548,5133989.540591286
35,白山市,2099001.9756408217,4843067.055974076
36,辽源市,1916869.1554380783,4889367.063840955
37,通化市,1990573.0728554544,4805054.455759429
38,长春市,1915881.9361941405,5072375.143770804
39,乐山市,68754.16093584802,3240719.1831102106
40,内江市,200780.40532343116,3284312.5433202246
41,凉山彝族自治州,-83867.27044197277,3099790.804669109
42,南充市,328732.34511176834,3453989.671671614
43,宜宾市,170568.5228456006,3166619.4742643
44,巴中市,409086.2217982538,3544116.0858351924
45,广元市,290952.4687512967,3573022.2959997333
46,广安市,371697.0334430895,3368155.447889678
47,德阳市,159624.558647521,3451209.0681673675
48,成都市,99823.54524806193,3405323.686588673
49,攀枝花市,-124093.71781716264,2981627.1576073007
50,泸州市,271347.2310834428,3149388.668220253
51,甘孜藏族自治州,-264020.4189786955,3451323.5130558508
52,眉山市,89437.5797336799,3319595.0963800377
53,绵阳市,188079.02539964416,3529680.034030369
54,自贡市,177561.74429154955,3245696.881529397
55,资阳市,206376.75462663762,3344113.239153884
56,达州市,465960.51913784805,3471517.9060247415
57,遂宁市,257545.11491989504,3392892.012401846
58,阿坝藏族羌族自治州,-7552.984516957936,3598442.5166910985
59,雅安市,-15727.217086242876,3322724.9011026835
60,天津市,1306488.9634291555,4392975.060477659
61,中卫市,275299.5994610134,4104123.7606362132
62,吴忠市,371128.90826680366,4148323.415179
63,固原市,335917.821527582,3981682.548318616
64,石嘴山市,371567.28726454644,4320399.361814843
65,银川市,356003.9011654003,4233967.281227693
66,亳州市,1262013.2888655653,3730998.441065195
67,六安市,1288986.745860747,3544980.2142269854
68,合肥市,1375605.8789687457,3578945.9431109396
69,安庆市,1325705.8536258116,3419367.0713823237
70,宣城市,1542858.4646989289,3446893.932393136
71,宿州市,1354130.5233930536,3786296.671296315
72,巢湖市,1431676.5525738022,3524071.322614747
73,池州市,1402938.014846212,3388913.1242054477
74,淮北市,1311502.313492241,3767882.7739564814
75,淮南市,1319898.3501162846,3659700.2939323904
76,滁州市,1451124.3621716762,3647595.2109830854
77,芜湖市,1488341.7910792283,3485468.2954203705
78,蚌埠市,1372050.4568096031,3703777.6768428194
79,铜陵市,1445959.4853305425,3465069.840086863
80,阜阳市,1221656.5520909738,3669985.6187388054
81,马鞍山市,1511132.7021955433,3539478.792473926
82,黄山市,1475247.416489119,3352799.623130928
83,东营市,1440911.2816886234,4222420.714428324
84,临沂市,1436684.972840992,3957636.7149579204
85,威海市,1752164.273444509,4202811.169928975
86,德州市,1267760.9945628801,4159095.277613908
87,日照市,1524447.6625926124,3987122.2151873657
88,枣庄市,1359700.9167112357,3905742.8966148226
89,泰安市,1314982.6578803842,4023630.2786013247
90,济南市,1312670.6395903279,4106160.516093678
91,济宁市,1294597.821553914,3951402.4735245593
92,淄博市,1400890.2096839715,4100429.831030385
93,滨州市,1370537.628723025,4201717.8974854015
94,潍坊市,1493305.031335043,4104508.1770532685
95,烟台市,1637102.5937891111,4213200.803295676
96,聊城市,1206971.0904659713,4065155.587134652
97,莱芜市,1369325.9423452439,4059485.013035317
98,菏泽市,1201640.013204413,3918594.23201568
99,青岛市,1602927.3340946496,4097023.5498261526
100,临汾市,803848.8282074489,4015907.7384745376
101,吕梁市,787823.4298523071,4176560.2038261434
102,大同市,989635.387293882,4433999.079918384
103,太原市,879335.9594696403,4211786.086418246
104,忻州市,882587.9361580256,4314805.711594757
105,晋中市,939716.4678089775,4144401.953744812
106,晋城市,926622.549901901,3952565.099162747
107,朔州市,898632.1533037606,4397344.172969346
108,运城市,778960.0108449988,3899600.542812947
109,长治市,940894.2984696167,4049506.5072088465
110,阳泉市,982676.833164972,4228824.962218437
111,东莞市,1103301.5747437123,2549216.8340385235
112,中山市,1055848.6813999715,2501279.455658583
113,云浮市,889804.7656267782,2529155.378556278
114,佛山市,1007492.6459118036,2553871.793387898
115,广州市,1066901.3182744589,2591798.96156991
116,惠州市,1168040.1438286721,2581165.2527847583
117,揭阳市,1334807.2638205956,2602175.704306278
118,梅州市,1322712.46573633,2701671.5775045943
119,汕头市,1395339.141638328,2608836.0833932324
120,汕尾市,1275198.7912896154,2560529.6401174916
121,江门市,982282.9764384708,2460261.078089143
122,河源市,1208939.2890955254,2677745.013477979
123,深圳市,1126793.9184229996,2514052.7734944634
124,清远市,995599.5035568041,2698581.7308437196
125,湛江市,727085.9955701175,2328369.321118891
126,潮州市,1398673.1797434664,2658704.1908804025
127,珠海市,1081049.5682783108,2455502.8952190145
128,肇庆市,929722.2025719408,2610520.693249655
129,茂名市,806124.2847438799,2435042.610443096
130,阳江市,893512.6021975568,2435659.341856696
131,韶关市,1084363.4192860564,2758360.928239956
132,北海市,635942.9076173038,2388077.0027727294
133,南宁市,547580.9532431265,2550919.304493045
134,崇左市,425199.5457798777,2489633.1600195062
135,来宾市,643917.0548269758,2639945.55662236
136,柳州市,638554.3218279339,2760767.1463534655
137,桂林市,753085.1583838697,2807525.6120243045
138,梧州市,805632.5194865067,2600883.5261430615
139,河池市,483973.14912445843,2726461.898814344
140,玉林市,724561.5183279245,2484283.5911621926
141,百色市,325889.8524913254,2654671.4426978277
142,贵港市,704342.9566735356,2580055.6444099564
143,贺州市,841309.6120267957,2699300.563638966
144,钦州市,603979.1919013971,2451639.1878854325
145,防城港市,501745.16390411404,2419074.4587037917
146,乌鲁木齐市,-1130212.9253214116,5046837.8234429015
147,五家渠市,-1129912.8702017479,5121755.27555427
148,伊犁哈萨克自治州,-1597952.9325173951,5152228.879390013
149,克孜勒苏柯尔克孜自治州,-2276208.7276876965,4915870.435050277
150,克拉玛依市,-1284770.1472006664,5294394.114448972
151,博尔塔拉蒙古自治州,-1548776.2016517867,5293473.029227788
152,吐鲁番地区,-997701.0760627901,4857621.327707337
153,和田地区,-1934834.1818913775,4466182.085869005
154,哈密地区,-680646.6911819234,4868089.0759071205
155,喀什地区,-2233218.742598865,4697800.969840414
156,图木舒克市,-1979640.8648817616,4835685.872363758
157,塔城地区,-1308916.0449925351,5324530.187249305
158,巴音郭楞蒙古自治州,-1275500.3480947635,4577679.450813617
159,昌吉回族自治州,-1045043.3891905913,5099358.438398813
160,石河子市,-1253137.8304520291,5147982.355906249
161,阿克苏地区,-1737506.0582565325,4888540.747976655
162,阿勒泰地区,-989842.03961186,5385504.384280599
163,阿拉尔市,-1771476.4148222278,4856008.217134391
164,南京市,1528141.809160556,3585416.879830213
165,南通市,1739558.3841161241,3637368.002230219
166,宿迁市,1476314.3762075882,3789910.9193384917
167,常州市,1607449.3500287558,3559782.609309772
168,徐州市,1377000.5124964078,3844639.1988461073
169,扬州市,1578346.6101485267,3682446.0392440204
170,无锡市,1650774.2367281455,3553480.177866663
171,泰州市,1635885.8266596196,3669826.104504853
172,淮安市,1522751.7126420373,3746205.289144676
173,盐城市,1637925.1202344121,3779679.5756231765
174,苏州市,1707932.8577147927,3543293.659276469
175,连云港市,1527025.6972115058,3882822.2805518806
176,镇江市,1585247.0358058165,3601620.9256014144
177,上饶市,1427315.322757045,3221236.9688046263
178,九江市,1223711.815380223,3268512.14204643
179,南昌市,1285987.7867420143,3198075.509058538
180,吉安市,1178386.5908065876,3002960.4636062384
181,宜春市,1184956.5037756674,3152185.6650294256
182,抚州市,1335098.6780650727,3072446.4125771136
183,新余市,1175814.3797074973,3100212.283321489
184,景德镇市,1402714.68025057,3279322.307378039
185,萍乡市,1083823.1844161043,3058325.9709928865
186,赣州市,1231087.8783932622,2864730.3387463526
187,鹰潭市,1396128.2308769822,3157104.467734776
188,保定市,1121375.668519238,4345368.319548311
189,唐山市,1390310.0526156153,4445784.547477296
190,廊坊市,1245109.4387977403,4382704.856216865
191,张家口市,1093113.1362040688,4549078.725261537
192,承德市,1300118.4995663455,4622885.36617235
193,沧州市,1268594.5174048715,4274002.514114358
194,石家庄市,1065003.824394176,4241731.747530914
195,秦皇岛市,1458769.0799162402,4495189.957910921
196,衡水市,1189974.1347741815,4209957.895472812
197,邢台市,1105431.8556794818,4141957.9923702986
198,邯郸市,1086265.5293077477,4066917.934492319
199,三门峡市,785642.8173021693,3807997.7800217234
200,信阳市,1150681.9484958004,3571735.075007017
201,南阳市,900652.1983002091,3665685.825121536
202,周口市,1138122.897525343,3754124.100064203
203,商丘市,1209832.7956247807,3822646.0061931117
204,安阳市,1074239.8106030242,3990584.2771002026
205,平顶山市,964429.0405978056,3752245.0092452182
206,开封市,1099952.304528084,3850226.681662707
207,新乡市,1054325.065637978,3920953.19539368
208,洛阳市,871151.24072591,3803243.672807931
209,漯河市,1047617.3870579943,3741047.853012023
210,濮阳市,1158378.4810374961,3988775.4320588126
211,焦作市,946354.9052108772,3897826.4394550757
212,许昌市,1027365.7977173519,3786435.0781920613
213,郑州市,1001907.8767533959,3846902.4341964354
214,驻马店市,1075886.1555914145,3661046.9787438405
215,鹤壁市,1071255.733736238,3973189.040657987
216,丽水市,1634614.3210607555,3174861.0348501354
217,台州市,1801467.1599321687,3250381.4569045077
218,嘉兴市,1742104.430775915,3458466.21964852
219,宁波市,1823163.684090882,3358657.2189282095
220,杭州市,1611554.9566428682,3365028.019289183
221,温州市,1744075.4809999121,3142878.6524898466
222,湖州市,1640418.98898373,3463589.1987354658
223,绍兴市,1727555.2254222876,3358361.1777390204
224,舟山市,1878105.6710745252,3444555.3867230564
225,衢州市,1544042.5372400149,3249381.8019373305
226,金华市,1667862.6634375118,3282033.4685301185
227,万宁市,746177.1934021715,2083254.4371081179
228,三亚市,650042.574761858,2029924.7491922083
229,东方市,584745.2570197954,2102322.4743205723
230,临高县,678855.7128162908,2194449.4497103975
231,乐东黎族自治县,607858.0098938078,2061494.1455746547
232,五指山市,658866.2051513164,2083185.9921083732
233,保亭黎族苗族自治县,673697.1358129731,2057443.0682172496
234,儋州市,644270.6700320872,2168413.4299930907
235,定安县,742475.2790448653,2157164.49328147
236,屯昌县,715729.1546326731,2140960.656052088
237,文昌市,795842.4138537679,2192016.2957018395
238,昌江黎族自治县,603084.050292559,2128223.859447283
239,海口市,752917.1506613548,2200187.4760851925
240,澄迈县,708023.1172833529,2184635.6976755843
241,琼中黎族苗族自治县,694914.4524618625,2106593.4710320393
242,琼海市,754831.2281685281,2126937.0174737084
243,白沙黎族自治县,641779.4761209316,2125640.458387254
244,陵水黎族自治县,706124.0644841362,2051927.2422052715
245,仙桃市,1017540.9919592428,3364572.7707821904
246,十堰市,729529.7772638334,3595052.174966512
247,咸宁市,1098699.3788128302,3294388.6137608457
248,天门市,990523.3727348351,3402827.72339762
249,孝感市,1061124.4288847344,3458952.2572837854
250,宜昌市,800250.0207757878,3407040.8266147175
251,恩施土家族苗族自治州,648967.3575939758,3342272.1214271067
252,武汉市,1108630.369655629,3406387.833868675
253,潜江市,957645.4639994666,3367347.6865889826
254,神农架林区,734960.1544580626,3499234.42467758
255,荆州市,941410.4300549558,3328533.9563291264
256,荆门市,939981.3350831404,3447720.507795736
257,襄阳市,872309.5537438693,3540987.504572543
258,鄂州市,1150396.7441743067,3375816.5028246334
259,随州市,1013852.369516792,3535611.619817915
260,黄冈市,1204228.1823613367,3422382.5812325217
261,黄石市,1179196.4468380616,3332850.36562123
262,娄底市,856582.7988225445,3074749.008320237
263,岳阳市,1012216.0465263753,3227887.5862465543
264,常德市,842300.0845118058,3247485.0663582752
265,张家界市,745366.4652920881,3255446.2986153737
266,怀化市,704626.6117668673,3049693.804728946
267,株洲市,1047627.0548060526,3012792.762448661
268,永州市,874321.658136205,2856928.309504149
269,湘潭市,954152.5978721243,3077225.5722939037
270,湘西土家族苗族自治州,668767.4401301035,3176424.0088692917
271,益阳市,886504.3628190245,3168561.6631178777
272,衡阳市,955127.97826781,2973009.7141293674
273,邵阳市,785457.8110236917,2981225.8735845704
274,郴州市,1015538.4131551997,2866530.8190973937
275,长沙市,1006226.8914717147,3134531.973275712
276,临夏回族自治州,72516.11437835489,3954687.096070473
277,兰州市,108555.68152437893,4034239.843297156
278,嘉峪关市,-339804.6923359748,4455154.728587673
279,天水市,292532.11629188,3837895.429590889
280,定西市,176387.9370972335,3893398.7282972895
281,平凉市,376905.806288967,3909581.4343580506
282,庆阳市,463545.4154459534,4003689.068301413
283,张掖市,-204309.22863704292,4343624.646876861
284,武威市,66854.7612035232,4237981.101629685
285,甘南藏族自治州,18197.269716684226,3812359.885134711
286,白银市,198329.82598518202,4058624.760290228
287,酒泉市,-518952.2479404904,4525784.312036776
288,金昌市,-17856.273146578336,4272453.085173942
289,陇南市,241866.58569615043,3722279.2681008074
290,三明市,1441313.1469664478,2944307.9090040214
291,南平市,1506928.2017056178,3066312.814212822
292,厦门市,1528390.8186947089,2765771.759120214
293,宁德市,1660611.3813698622,3033276.284880356
294,泉州市,1542196.7840831927,2822258.788814256
295,漳州市,1465578.8042792508,2723092.0503238062
296,福州市,1642901.211559076,2928270.2616572105
297,莆田市,1612253.6886344694,2854188.085449312
298,龙岩市,1382520.6993869066,2827412.958715348
299,山南地区,-1053732.8776047528,3234768.201486913
300,拉萨市,-1143284.3701889592,3447767.5624562907
301,日喀则地区,-1614263.8733957757,3469076.147795294
302,昌都地区,-553053.8774280753,3458871.413002236
303,林芝地区,-746590.9987276903,3300209.175912877
304,那曲地区,-1269968.1549491452,3784645.8475628523
305,阿里地区,-1914185.123923086,3959086.7716985275
306,六盘水市,188912.1793738643,2895353.570292895
307,安顺市,294618.8893101378,2877812.6281245425
308,毕节市,223512.55615339478,2998294.443125505
309,贵阳市,371349.4837195913,2970631.785960519
310,遵义市,410077.5938286815,3117374.311304418
311,铜仁市,553325.8259593525,3095303.568861471
312,黔东南苗族侗族自治州,555707.8306306658,2932848.753296243
313,黔南布依族苗族自治州,424898.01067631243,2878365.1529018683
314,黔西南布依族苗族自治州,244480.8683114705,2797859.6961063575
315,丹东市,1890803.002623261,4616891.1098605655
316,大连市,1725213.867351349,4467394.922649521
317,抚顺市,1885525.932014289,4769537.957717859
318,朝阳市,1503809.9589622,4667480.049550785
319,本溪市,1891856.4245189074,4700850.584797872
320,沈阳市,1753712.9253776432,4774440.829027744
321,盘锦市,1677306.798563837,4642619.976586033
322,营口市,1727130.1586386892,4574142.749855889
323,葫芦岛市,1536140.0328196897,4569298.812637793
324,辽阳市,1781123.8252431669,4674382.961345573
325,铁岭市,1827570.2325689073,4851740.755168206
326,锦州市,1638062.0653493872,4680919.523412326
327,阜新市,1652002.7651480124,4778063.311686257
328,鞍山市,1770735.0534567712,4618706.930057682
329,重庆市,486896.90411664953,3326107.0609884583
330,咸阳市,535872.7346066899,3850976.220870584
331,商洛市,676357.8860808453,3726237.2019213303
332,安康市,587085.4008984922,3626092.1923895804
333,宝鸡市,426428.57837838493,3806027.8801826397
334,延安市,618343.3986408992,4034633.3933932274
335,榆林市,636411.4088847192,4212829.816851535
336,汉中市,416253.4512436533,3663193.5541094546
337,渭南市,668896.138084485,3870340.873637043
338,西安市,572437.4776560973,3775764.4420631407
339,铜川市,594040.6762631582,3896720.79367409
340,果洛藏族自治州,-290642.8579796526,3807862.9100868898
341,海东地区,-8111.629663002848,4036925.7886079913
342,海北藏族自治州,-176840.6880275483,4213286.4542397205
343,海南藏族自治州,-199612.61516027426,4007786.166459645
344,海西蒙古族藏族自治州,-709840.90947651,4145984.531437267
345,玉树藏族自治州,-770244.3064164222,3870272.4995480133
346,西宁市,-84810.38957210846,4096245.5200992576
347,黄南藏族自治州,-82151.51069836787,3895266.832628106
348,七台河市,2279583.5567604913,5349411.574218462
349,伊春市,2083832.0221804944,5518551.460829364
350,佳木斯市,2328553.17305115,5530706.78119949
351,双鸭山市,2372718.759421624,5472703.238366388
352,哈尔滨市,2054876.0212359638,5253175.920901275
353,大兴安岭地区,1602748.098218258,5924356.292167978
354,大庆市,1784751.3432893332,5271504.03220246
355,牡丹江市,2238017.7338046245,5178603.148524053
356,绥化市,1918191.9263386815,5366634.07407902
357,鸡西市,2390668.526396874,5350424.3132137135
358,鹤岗市,2208476.7655408317,5536068.751832993
359,黑河市,1879074.8813458262,5634141.733424965
360,齐齐哈尔市,1739482.6291009597,5419108.468711335
361,香港特别行政区,1126793.9184229996, 2514052.773494464
361,济源市,1158378.4810374961,3988775.4320588126